Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d,Transition State,HIL Summary
48,SPMO,,Broad Equity & Factors,Momentum Factor,0.6189598675594186,0.24680505444263212,0.23961885816342376,0.29324952942545757,-0.06542234539868841,0.005797101449275477,0.018220281151904105,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
49,PAVE,,Industrials,U.S. Infrastructure Development,0.3926255238565619,0.15507375062906337,0.238389115572474,0.061269670118647035,-0.09404248907134505,-0.06727721028531175,0.00094500094500094,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
50,IAU,,Natural Resources,Gold Bullion,0.4358302776322682,0.19173913043478263,0.2295652173913043,-0.058830262103696906,0.03655615782175725,-0.030763790664780744,0.006610356224752145,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
51,ITA,,Industrials,Aerospace & Defense,0.41021674253318263,0.06910638461838525,0.22921727000650138,-0.05754800928878667,-0.10419731014632083,-0.13025434094923616,-0.0001870207593042128,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
52,GLD,,Natural Resources,Gold Bullion,0.43313330475782275,0.1906697925631362,0.22812119773273576,-0.05907459956380012,0.03642281463112229,-0.0304948772472452,0.007179435686313962,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
53,QQQM,,Growth & Technology,Nasdaq-100,0.5312114254691873,0.22856033951039767,0.2200364288998038,0.21892302257219143,-0.02386184607464681,0.006986603357639565,0.005792682926829329,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
54,QQQ,,Growth & Technology,Nasdaq-100,0.5319939405684098,0.22897537448960414,0.21954032061821427,0.21972939962088178,-0.02458345409739915,0.007736565746843782,0.006555822127991995,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
55,XLI,,Industrials,Industrials,0.3117286306843525,0.1376053452742052,0.21936549380053982,0.04014258795031034,-0.05937960490513683,-0.06705138774388564,0.004378439145612756,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d up.
56,EWJ,,International,Japan Equity,0.4389288292215341,0.24660054884104743,0.21794454199726276,0.16005092582120461,0.007791398296280949,0.023528170500105583,-0.009192115207843798,REACCELERATING,"Positive trend cooled, then strengthened into 1m; 1d down."
57,XHE,HB,Defensive Equity,Health Equipment,0.0960996970174246,0.142977794105692,0.21654012110689314,0.14513897622940508,0.10578090842846732,-0.060468475905479324,0.002311756935270637,CORRECTION,Established trend; positive 3m but negative 1m; 1d up.
58,ARKQ,HB,Growth & Technology,Autonomy & Robotics,0.8022031268724863,0.17801705370528587,0.21474573598529512,0.02714970160544672,-0.08237591049035053,-0.03023569557971595,-0.0026118184786156906,FAST_REVERSAL,Established trend; 3m and 1m now negative; 1d down.
59,MTUM,HB,Broad Equity & Factors,Momentum Factor,0.5626330933500898,0.2314616817649311,0.21413861702616743,0.2581502733761707,-0.08352762212006248,0.014267781697936188,0.011433424800731729,MIXED_TRANSITION,Positive long and 1m momentum with mixed middle horizons; 1d up.
