Rank,ETF,HB,Primary Category,Secondary Category,18m,12m,12-1,6m,3m,1m,1d
33,XAR,HB,Industrials,Aerospace & Defense,0.5413525055230759,0.17629721734151516,0.3185919873131313,-0.0957631804709943,-0.07387072401212003,-0.10791417765367084,-0.006104044421691102
34,AIRR,,Industrials,U.S. Industrials,0.5367146880431453,0.17810718205213094,0.31778304740346397,-0.01853133678655916,-0.15370790028913028,-0.10599306587419521,0.006131549609810438
35,XOP,HB,Natural Resources,Oil & Gas E&P,0.6217428158809204,0.4781003148637655,0.2924866917817843,0.17436112328090014,0.15655368874904685,0.14360969769530074,-0.006707221962252485
36,ARKQ,HB,Growth & Technology,Autonomy & Robotics,0.7036815242449548,0.27306701201818284,0.28422055089363907,0.028896377422072295,-0.057638888888888906,-0.008685064935065046,-0.005537008386939268
37,SPMO,,Broad Equity & Factors,Momentum Factor,0.5519117122026806,0.28094274278233167,0.28145842021501366,0.26599306318119154,0.03457660913427252,-0.0004024144869215762,0.011057594464418896
38,CALF,HB,Broad Equity & Factors,Small Cap Value,0.5458657261103335,0.3339318158434581,0.27533859348534295,0.2711143301186443,0.1602873083538494,0.04594326766038437,-0.0070872947277442755
39,SCHA,,Broad Equity & Factors,Small Cap Blend,0.42881356098948875,0.2678492377798629,0.2678492377798629,0.18444706187769366,0.04034589296088087,0.0,0.006430868167202508
40,MTUM,HB,Broad Equity & Factors,Momentum Factor,0.4428562965026259,0.24656793800837407,0.26708503679675655,0.25802141890732155,-0.009642166990625811,-0.01619236135899016,0.012557611382005174
41,ITA,,Industrials,Aerospace & Defense,0.484539837070888,0.13758258183473204,0.26567390463689833,-0.07104184044994366,-0.02005787142907456,-0.10120404816192652,-0.0057084697760863
42,HEFA,,International,Developed ex-US Hedged,0.34318899592250385,0.2679788875721685,0.26556675271946273,0.12831671099544284,0.0671368274558215,0.001905972045743498,0.0025429116338209212
43,VEA,,International,Developed Markets,0.461468824520616,0.29175546896150384,0.2645772284716119,0.13639401729342526,0.07066323002809183,0.02149195784803104,0.0031318082788671653
44,FNDX,,Broad Equity & Factors,Fundamental Equity,0.39161634826868275,0.28129178324809034,0.26362150122352257,0.16496351402578502,0.06554198069974171,0.01398384089496596,-0.004879536444037713
45,PAVE,,Industrials,Infrastructure,0.42367213011748484,0.191047936774972,0.2619874180283208,0.06953416810735757,-0.026701288529556777,-0.05621251071122535,0.006948253794112347
46,SCHD,,Broad Equity & Factors,Dividend,0.31394268275225734,0.30629448004407456,0.26174044074191216,0.13926584304385226,0.08878856628014486,0.03531157270029661,-0.0054161915621435686
47,IWO,HB,Broad Equity & Factors,Small Growth,0.41013238257356877,0.22382225982194215,0.24924338254568523,0.17689553543575687,0.02907116251624564,-0.020349215436259005,-0.0016706443914080715
48,QQQM,,Growth & Technology,Nasdaq-100,0.440709553590787,0.2534184797158363,0.2489618429487046,0.1987567510638908,0.018259896430216527,0.003568272955889462,-0.0006767960475110302
49,QQQ,,Growth & Technology,Nasdaq-100,0.4394535020984527,0.25295022983654003,0.2483561255753448,0.1987889940749692,0.01844987203479853,0.0036801231372001197,-0.0005434252511600235
50,PPA,HB,Industrials,Aerospace & Defense,0.4249063046658954,0.12462038523742103,0.24074410536470703,-0.08661799300745876,-0.031917644256002076,-0.09359199824137177,-0.0038654345594008044
51,XLI,,Industrials,Industrials,0.33110021438639925,0.16894291133236483,0.23533656865393637,0.03420385277257387,0.006201293172200639,-0.05374539943710743,0.0015467461044913478
52,VHT,HB,Defensive Equity,Health Care,0.21174059204709383,0.28113884295045954,0.22934270664684808,0.1495624780192868,0.13734038475589982,0.042133195262442635,-0.00849753694581279
53,ONEQ,,Broad Equity & Factors,Nasdaq Composite,0.43922158217599616,0.22764783609597505,0.22176491566231604,0.1865625853834223,0.031448568128056964,0.004815100154083263,-0.004009163802978222
54,XMMO,HB,Broad Equity & Factors,Mid Cap Momentum,0.3185252139867498,0.16340149690612082,0.20457649630957775,0.07239882168412493,-0.06326685295239665,-0.03418213748118404,0.008051846032993026
55,VBK,,Broad Equity & Factors,Small Growth,0.3166628869288146,0.19220742529671897,0.20359010413793155,0.14249991839753195,0.020510614750451017,-0.009457271875266349,-0.0017744705208929679
56,COWZ,,Broad Equity & Factors,Cash Flow Factor,0.33152329792977775,0.2682510359309964,0.2029491727456918,0.13311206354989258,0.12389962439639723,0.05428480659432622,-0.011491070192440778
57,VOO,,Broad Equity & Factors,S&P 500,0.3422732691888335,0.19897997578921411,0.19804718140957744,0.1500844752745718,0.045735587183824755,0.0007785956964894147,-0.005304479963980202
58,IVV,,Broad Equity & Factors,US Large Blend,0.3430624196466703,0.19927688223690843,0.19802010386522118,0.15054674494855913,0.04603263596261997,0.0010490461450791688,-0.005391633317462952
59,VWO,,International,Emerging Markets,0.3745475220139527,0.2260851975028828,0.1975251415910222,0.12838186479246727,0.0591583832069964,0.02384923282188134,0.006558452205279508
60,SPY,,Broad Equity & Factors,S&P 500,0.3419368872659836,0.1982123290349127,0.19712199724809887,0.15016516927541912,0.04568066814756855,0.0009107942125534674,-0.005057102577699535
61,IAU,,Natural Resources,Gold,0.5133224578575311,0.24779554625616496,0.19369302047526538,-0.139100845535162,0.02794878108840182,0.04532365093276569,-0.007253269916765781
62,GLD,,Natural Resources,Gold,0.5099028261998368,0.24613548011876718,0.19278214821390316,-0.1402504698950391,0.027407631738340488,0.04473015628608823,-0.007605675003656609
63,OEF,HB,Broad Equity & Factors,S&P 100,0.36073828195767144,0.19435925380582786,0.1925134514647706,0.15944887062493063,0.04839230852379606,0.0015478251744582838,-0.006635095753538711
64,RSP,,Broad Equity & Factors,Equal Weight,0.2698055104862489,0.1836399122450112,0.18056131425286126,0.11501673956695191,0.05855130599164915,0.0026077408729068274,-0.004089979550102263
65,ARGT,HB,International,Argentina Equity,0.17728040582095606,0.22792308002847395,0.17328956629953085,0.12341505277640641,0.061473269209001646,0.04656439066551421,0.0007231404958678578
66,KBE,HB,Financials & Credit,Banks,0.3202535065382257,0.15236562713469892,0.16565895808938924,0.17766170177298024,0.08737418294370913,-0.01140413399857465,0.0034727246418750912
67,MGK,,Broad Equity & Factors,Mega Cap Growth,0.3592321021155722,0.16496289503983674,0.16418685669518962,0.17026780131286,0.030751014301884316,0.0006665926008220247,-0.006617403771920216
68,SCHG,,Broad Equity & Factors,Large Growth,0.33146165532312977,0.155963832276786,0.15368382471805453,0.16508994209526273,0.0526394433287134,0.0019762845849802257,-0.009765625
69,VUG,,Broad Equity & Factors,Large Growth,0.33526868697326373,0.14598277872898735,0.15156660416642032,0.15842263747728547,0.028137675265360595,-0.004848894903022205,-0.007088208820882014
70,IAK,HB,Financials & Credit,Insurance,0.1253912963291841,0.11908813971738108,0.14208414804991332,0.1117811380682443,0.09960290763871948,-0.020135126095391143,-0.009400148779333262
71,SPGP,HB,Broad Equity & Factors,GARP Factor,0.2487499709265686,0.11098167518470636,0.1404287391249801,0.12318734833524503,0.04922024947003689,-0.02582104688353226,-0.010145846544071024
72,IGF,,Industrials,Infrastructure,0.2820486625989802,0.12133153599634139,0.13752280548691864,-0.01615220170279763,-0.0024753164823602125,-0.014233797698364858,0.0013844023996305577
73,BOTZ,,Growth & Technology,Robotics & AI,0.13268269202671346,0.08369472000383649,0.11633248625046622,-0.005876040419308226,-0.05534663108739857,-0.02923659989171623,0.0013962580284836434
74,XHE,HB,Defensive Equity,Health Equipment,0.07610527173939152,0.14267961905735693,0.11458594590041504,0.13517776968814466,0.15751051719871323,0.02520547945205487,-0.0077428935086975015
75,VONG,,Broad Equity & Factors,Large Growth,0.2797456860955252,0.10087875758610809,0.10391722115487334,0.10511568223483381,0.00499490182798934,-0.002752437873545066,-0.002046116313842661
76,IWF,,Broad Equity & Factors,Large Growth,0.2770760522540523,0.09879529961592937,0.10164977677031395,0.10402593753663592,0.004878005869520363,-0.0025910931174089047,-0.0020254395203759268
77,VFH,,Financials & Credit,Financials,0.2000255706377414,0.09200891391601784,0.08908189559558255,0.1596484153093829,0.1140400476988872,0.00268760166914217,-0.009224963309804934
78,XLF,,Financials & Credit,Financials,0.18055585160448206,0.08878034935373735,0.08596259482642443,0.15606120287190794,0.11210390324212849,0.002594706798131785,-0.010245901639344246
79,XLP,,Defensive Equity,Consumer Staples,0.07244309503299284,0.08317414701827608,0.08470351397488507,0.003280723069199576,0.025643704248685895,-0.0014099400775468007,-0.003166783954961394
80,EUO,HB,Currency,Inverse Euro,-0.07397090683998764,0.05537918871252212,0.06631393298059951,0.021509047456469865,-0.00366300366300365,-0.010254713860403553,0.0036900369003691758
81,XLU,,Defensive Equity,Utilities,0.1599218582813513,0.058573556359063694,0.06495642103098764,-0.06506767502633337,-0.02152555767430131,-0.005993545412632639,0.002091564025098691
82,EDEN,HB,International,Denmark Equity,0.12397802159077509,0.1250226690575149,0.06155451612850937,0.14813326035277563,0.11041351577977365,0.05978793548961958,-0.007261497370837144
83,UUP,HB,Currency,US Dollar Basket,0.017460927234728363,0.052927961863101114,0.05856060074610636,0.02074990899162721,0.0007137758743753775,-0.005321035828308007,0.001071046054980318
84,VOT,HB,Broad Equity & Factors,Mid Growth,0.18248556886721667,0.042856122991628,0.05156022711301511,0.10591260362786703,0.02178829722605169,-0.008277323444690898,-0.0010672002668001834
85,XRT,HB,Consumer,Retail,0.23834142029193184,0.011279963308496121,0.04141552668502424,0.0554301348445041,0.05819017777857827,-0.028937117417918712,0.005995618586417617
86,USDU,HB,Currency,US Dollar Basket,0.0066281015638023355,0.03140311245850147,0.040053843863033345,0.008846153846153948,-0.009441087613293098,-0.008317580340264641,0.0019098548510314561
87,HYG,,Financials & Credit,High Yield Credit,0.08613066742278419,0.0390806873503895,0.037202674480560693,0.023836662209201442,0.011722864540973266,0.0018106517810219103,-0.000504986744097824
88,VCR,HB,Consumer,Consumer Discretionary,0.1175965830639425,-0.006528894497549231,0.022098505901783527,0.03174708514198388,0.008924921319508394,-0.02800845538275709,-0.012249386252045857
89,SHY,,Rates & Duration,Short Treasury,0.04863283880769376,0.02278170927684453,0.020982311288608724,0.005341768918599055,0.0070205942606367255,0.0017624183772242397,-0.0001223840411209709
90,TIP,HB,Inflation & Real Assets,TIPS,0.04356791223784717,0.007689848700252133,0.007030242477987114,-0.007474740422097947,-0.004335266319744013,0.00065500140357444,-0.0005607476635514086
91,IEF,,Rates & Duration,Intermediate Treasury,0.03466071669762094,-0.0036979547943286617,-0.0002735691732980161,-0.023422451035813086,-0.0038849356870429563,-0.003425322683725418,0.00021673168617253324
92,IWP,,Broad Equity & Factors,Mid Growth,0.1243533706791935,-0.017761191958946987,-0.011365218325191329,0.047354932996179766,0.00489097350969292,-0.006469500924214389,-0.0004291538516558724
93,TLT,,Rates & Duration,Long Treasury,-0.03010263754388598,-0.013770091087773162,-0.01442952538653286,-0.04832829986775411,-0.021701671100524678,0.0006690889345262185,0.0023150968685270445
94,INDA,HB,International,India Equity,0.02002861230329045,-0.05096025860429754,-0.04696710401216975,-0.0016003200640128945,0.05428812843261488,-0.0041899441340782495,-0.00020032051282059538
95,IPAY,HB,Growth & Technology,Digital Payments,-0.08123147691078825,-0.1321285229291973,-0.13195934720267277,0.12401402278702878,0.18832522585128553,-0.00019489378288839454,-0.012702078521940052
